description.sold_price,description.baths,description.garage,description.stories,description.beds,description.type,location.address.postal_code,location.address.coordinate.lon,location.address.coordinate.lat,location.address.city,location.address.state_code,property.sqft,property_age,basement,central_air,community_outdoor_space,community_security_features,dining_room,dishwasher,fireplace,forced_air,garage_1_or_more,garage_2_or_more,hardwood_floors,laundry_room,recreation_facilities,shopping,single_story,two_or_more_stories,washer_dryer
120000.0,2.0,0.0,1.0,3.0,single_family,36116,-86.240711,32.309924,Montgomery,AL,10019.0,54.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
283000.0,2.0,2.0,1.0,4.0,single_family,36117,-86.167468,32.343306,Montgomery,AL,13747.0,31.0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0
284500.0,2.0,0.0,1.0,4.0,single_family,36117,-86.167057,32.341748,Montgomery,AL,15682.0,31.0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0
160000.0,2.0,0.0,1.0,2.0,single_family,36109,-86.244298,32.389676,Montgomery,AL,4792.0,36.0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0
439900.0,4.0,2.0,2.0,4.0,single_family,36117,-86.143059,32.356445,Montgomery,AL,4356.0,3.0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0
68250.0,2.0,0.0,1.0,3.0,single_family,36116,-86.257496,32.308274,Montgomery,AL,18731.0,57.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
385000.0,4.0,2.0,2.0,4.0,single_family,36117,-86.153421,32.345345,Montgomery,AL,29621.0,38.0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0
139900.0,2.0,0.0,1.0,4.0,single_family,36109,-86.228626,32.389227,Montgomery,AL,26136.0,47.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
115000.0,2.0,0.0,1.0,3.0,single_family,36106,-86.231634,32.339396,Montgomery,AL,17280.0,50.0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
140267.0,3.0,0.0,1.0,3.0,single_family,36111,-86.28926,32.3413,Montgomery,AL,24394.0,71.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
173000.0,2.0,0.0,1.0,2.0,single_family,36116,-86.208689,32.329261,Montgomery,AL,5227.0,17.0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0
215000.0,2.0,0.0,1.0,4.0,single_family,36109,-86.24356,32.394089,Montgomery,AL,17424.0,56.0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1
161000.0,2.0,0.0,1.0,3.0,single_family,72204,-92.342816,34.727648,Little Rock,AR,7841.0,71.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
359500.0,2.0,2.0,1.0,4.0,single_family,72210,-92.481808,34.716767,Little Rock,AR,16988.0,6.0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0
205000.0,2.0,0.0,1.0,3.0,single_family,72210,-92.434441,34.66904,Little Rock,AR,10890.0,27.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
162000.0,2.0,0.0,1.0,3.0,single_family,72204,-92.39731,34.692718,Little Rock,AR,11761.0,68.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1170000.0,5.0,3.0,3.0,4.0,single_family,72223,-92.473675,34.747145,Little Rock,AR,139828.0,7.0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0
225000.0,3.0,2.0,2.0,3.0,single_family,72211,-92.403051,34.731995,Little Rock,AR,10019.0,46.0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0
115000.0,1.0,0.0,1.0,2.0,single_family,72204,-92.331775,34.732259,Little Rock,AR,6970.0,70.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
63000.0,2.0,3.0,1.0,4.0,single_family,72204,-92.315418,34.741559,Little Rock,AR,11761.0,85.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
135000.0,1.0,0.0,1.0,3.0,single_family,72204,-92.347334,34.729525,Little Rock,AR,8712.0,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
150000.0,2.0,2.0,1.0,3.0,single_family,72103,-92.368536,34.645979,Mabelvale,AR,9583.0,18.0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0
530000.0,2.0,0.0,2.0,4.0,single_family,72207,-92.343271,34.768719,Little Rock,AR,7841.0,86.0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
76000.0,0.0,0.0,0.0,4.0,land,72223,-92.3836391761658,34.73952522279793,Little Rock,AR,5663.0,55.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
159900.0,2.0,0.0,1.0,3.0,single_family,72202,-92.28592,34.741524,Little Rock,AR,11326.0,59.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
980000.0,4.0,0.0,2.0,4.0,single_family,72207,-92.33378,34.770779,Little Rock,AR,6970.0,9.0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0
259900.0,2.0,2.0,2.0,3.0,single_family,72223,-92.419368,34.790459,Little Rock,AR,11326.0,44.0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0
570000.0,3.0,0.0,3.0,4.0,single_family,72205,-92.317265,34.757546,Little Rock,AR,5227.0,98.0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
417000.0,3.0,2.0,2.0,4.0,single_family,72211,-92.414595,34.762832,Little Rock,AR,17860.0,43.0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0
396500.0,3.0,2.0,2.0,4.0,single_family,72223,-92.490714,34.804707,Little Rock,AR,8712.0,25.0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,0
150000.0,3.0,2.0,2.0,4.0,single_family,72210,-92.436121,34.659456,Little Rock,AR,2124.0,48.0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0
9000.0,2.0,2.0,2.0,4.0,single_family,72209,-92.335586,34.67242,Little Rock,AR,9148.0,56.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
255000.0,2.0,2.0,2.0,3.0,single_family,72212,-92.402968,34.798415,Little Rock,AR,16117.0,55.0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0
63500.0,1.0,0.0,1.0,2.0,single_family,72204,-92.324525,34.742189,Little Rock,AR,6970.0,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
453990.0,0.0,0.0,0.0,4.0,land,72223,-92.3836391761658,34.73952522279793,Little Rock,AR,534481.0,55.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
455000.0,2.0,2.0,1.0,3.0,single_family,72223,-92.457665,34.800187,Little Rock,AR,9148.0,19.0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0
222000.0,2.0,0.0,1.0,3.0,single_family,72210,-92.426583,34.664575,Little Rock,AR,8276.0,22.0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0
379000.0,2.0,0.0,1.0,3.0,single_family,72205,-92.325963,34.761795,Little Rock,AR,6098.0,103.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
190000.0,3.0,2.0,2.0,3.0,single_family,72210,-92.433815,34.657293,Little Rock,AR,2660.0,49.0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0
48500.0,1.0,0.0,1.0,2.0,single_family,72204,-92.364733,34.716234,Little Rock,AR,6534.0,55.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
175000.0,2.0,1.0,2.0,3.0,single_family,72211,-92.400332,34.749207,Little Rock,AR,9583.0,64.0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
107500.0,0.0,0.0,0.0,4.0,land,72223,-92.481706,34.772842,Little Rock,AR,23522.0,55.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
103000.0,2.0,0.0,1.0,3.0,single_family,72209,-92.328484,34.701833,Little Rock,AR,10454.0,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
236500.0,2.0,2.0,1.0,3.0,single_family,72211,-92.410482,34.741377,Little Rock,AR,8712.0,33.0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0
225000.0,2.0,0.0,1.0,4.0,single_family,72205,-92.379411,34.755695,Little Rock,AR,8712.0,56.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
100000.0,2.0,0.0,2.0,2.0,townhomes,72211,-92.399841,34.758465,Little Rock,AR,1054.0,44.0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
325000.0,0.0,0.0,2.0,5.0,multi_family,72206,-92.29413,34.725859,Little Rock,AR,8276.0,95.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
258000.0,2.0,0.0,1.0,4.0,single_family,72212,-92.409228,34.789568,Little Rock,AR,14375.0,47.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
39900.0,1.0,0.0,2.0,3.0,single_family,72206,-92.285366,34.729216,Little Rock,AR,6970.0,105.0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
75000.0,2.0,0.0,1.0,3.0,single_family,72209,-92.328324,34.680246,Little Rock,AR,6534.0,61.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
615000.0,4.0,3.0,1.0,4.0,single_family,72210,-92.594155,34.760516,Little Rock,AR,131987.0,11.0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0
388000.0,3.0,2.0,2.0,4.0,single_family,72211,-92.438521,34.759195,Little Rock,AR,10019.0,19.0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0
1150000.0,5.0,2.0,2.0,5.0,single_family,72207,-92.337833,34.777397,Little Rock,AR,6098.0,10.0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0
305000.0,2.0,0.0,1.0,3.0,single_family,72207,-92.344303,34.779791,Little Rock,AR,7405.0,82.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
56000.0,1.0,0.0,1.0,2.0,single_family,72209,-92.329713,34.70221,Little Rock,AR,8276.0,59.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
75000.0,2.0,2.0,1.0,3.0,single_family,72204,-92.363116,34.731835,Little Rock,AR,8712.0,52.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
148000.0,2.0,1.0,1.0,3.0,single_family,72002,-92.41478,34.627914,Alexander,AR,9583.0,36.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
105000.0,0.0,0.0,0.0,4.0,land,72206,-92.306594,34.573022,Little Rock,AR,87120.0,55.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
445000.0,2.0,2.0,1.0,3.0,single_family,85353,-112.249825,33.417118,Tolleson,AZ,5663.0,14.0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1
1206000.0,5.0,3.0,2.0,5.0,single_family,85086,-112.103195,33.851101,Phoenix,AZ,12197.0,22.0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0
330000.0,0.0,0.0,0.0,4.0,land,85048,-112.074197,33.315008,Phoenix,AZ,28314.0,45.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
415000.0,2.0,2.0,1.0,3.0,single_family,85023,-112.110726,33.622703,Phoenix,AZ,9344.0,52.0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0
200000.0,1.0,0.0,2.0,1.0,apartment,85016,-112.025059,33.493659,Phoenix,AZ,677.0,43.0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
359900.0,2.0,0.0,1.0,3.0,single_family,85029,-112.126512,33.59395,Phoenix,AZ,6810.0,58.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
186000.0,1.0,0.0,1.0,1.0,apartment,85053,-112.132929,33.642135,Phoenix,AZ,751.0,44.0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0
675000.0,1.0,1.0,1.0,2.0,single_family,85003,-112.076725,33.476385,Phoenix,AZ,6521.0,95.0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0
1701500.0,3.0,2.0,1.0,3.0,single_family,85028,-111.984534,33.564398,Phoenix,AZ,37462.0,48.0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0
525000.0,2.0,2.0,1.0,3.0,single_family,85022,-112.073259,33.647109,Phoenix,AZ,12197.0,45.0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0
385000.0,2.0,2.0,1.0,3.0,single_family,85053,-112.139052,33.614124,Phoenix,AZ,8006.0,52.0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0
1038712.0,3.0,2.0,1.0,4.0,single_family,85016,-112.036169,33.51904,Phoenix,AZ,11326.0,70.0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0
690000.0,4.0,3.0,2.0,4.0,single_family,85042,-112.035626,33.368917,Phoenix,AZ,8880.0,20.0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0
498000.0,2.0,2.0,1.0,3.0,single_family,85048,-111.993051,33.298709,Phoenix,AZ,5528.0,32.0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0
500000.0,2.0,2.0,1.0,3.0,single_family,85048,-112.052727,33.298462,Phoenix,AZ,4696.0,32.0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0
340000.0,2.0,2.0,1.0,2.0,single_family,85306,-112.163053,33.637633,Glendale,AZ,8018.0,46.0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
345000.0,2.0,0.0,1.0,4.0,single_family,85040,-112.039956,33.400369,Phoenix,AZ,6887.0,69.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
28000.0,1.0,0.0,1.0,2.0,mobile,85031,-112.169899,33.508244,Phoenix,AZ,768.0,58.0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0
1010000.0,4.0,3.0,1.0,4.0,single_family,85086,-112.110306,33.800987,Phoenix,AZ,14375.0,20.0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0
825000.0,4.0,3.0,2.0,5.0,single_family,85042,-112.062212,33.362254,Phoenix,AZ,5751.0,6.0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0
432000.0,2.0,0.0,1.0,5.0,single_family,85017,-112.133513,33.507399,Phoenix,AZ,7410.0,69.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
745000.0,3.0,2.0,1.0,3.0,single_family,85028,-112.02721,33.573763,Phoenix,AZ,7675.0,39.0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0
700000.0,3.0,2.0,1.0,3.0,single_family,85032,-112.025909,33.607555,Phoenix,AZ,17424.0,64.0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0
436000.0,3.0,2.0,1.0,2.0,townhomes,85018,-112.001261,33.486444,Phoenix,AZ,1065.0,25.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
625600.0,3.0,2.0,1.0,4.0,single_family,85086,-112.056055,33.804177,Phoenix,AZ,95832.0,29.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
827522.0,2.0,2.0,1.0,3.0,single_family,85003,-112.081483,33.477919,Phoenix,AZ,8050.0,82.0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0
255000.0,1.0,0.0,2.0,2.0,apartment,85048,-112.012532,33.305897,Phoenix,AZ,1120.0,29.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
120000.0,2.0,1.0,1.0,2.0,mobile,85022,-112.040162,33.64803,Phoenix,AZ,9905.0,21.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
267000.0,2.0,0.0,2.0,2.0,townhomes,85015,-112.093068,33.502731,Phoenix,AZ,1213.0,60.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
180000.0,1.0,0.0,1.0,2.0,single_family,85009,-112.127552,33.457066,Phoenix,AZ,7867.0,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
448000.0,2.0,3.0,1.0,4.0,single_family,85042,-112.066415,33.357118,Phoenix,AZ,8940.0,14.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
540000.0,2.0,2.0,1.0,3.0,single_family,85050,-112.018271,33.661589,Phoenix,AZ,13939.0,36.0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0
271500.0,1.0,1.0,2.0,1.0,apartment,85331,-111.988745,33.754808,Cave Creek,AZ,924.0,26.0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0
345000.0,2.0,2.0,1.0,3.0,single_family,85308,-112.144237,33.645316,Glendale,AZ,9304.0,46.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
350000.0,2.0,1.0,1.0,3.0,single_family,85020,-112.060275,33.554442,Phoenix,AZ,9118.0,67.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
28000.0,2.0,0.0,1.0,2.0,mobile,85027,-112.119675,33.658249,Phoenix,AZ,1296.0,55.0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
470000.0,2.0,2.0,1.0,3.0,single_family,85085,-112.11173,33.737975,Phoenix,AZ,4499.0,24.0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0
389900.0,2.0,0.0,1.0,3.0,single_family,85021,-112.102481,33.54247,Phoenix,AZ,7148.0,65.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
1090000.0,5.0,2.0,2.0,5.0,single_family,85050,-112.018356,33.684822,Phoenix,AZ,6000.0,5.0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0
755000.0,5.0,3.0,2.0,4.0,single_family,85083,-112.163046,33.713491,Phoenix,AZ,6528.0,14.0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0
390000.0,2.0,0.0,1.0,3.0,single_family,85029,-112.083975,33.583486,Phoenix,AZ,11761.0,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
349900.0,2.0,0.0,1.0,3.0,single_family,85040,-112.036631,33.399872,Phoenix,AZ,7126.0,68.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
200000.0,2.0,0.0,1.0,3.0,single_family,85041,-112.075713,33.40949,Phoenix,AZ,9243.0,89.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
515000.0,3.0,2.0,2.0,4.0,single_family,95823,-121.431434,38.44434,Sacramento,CA,5775.0,35.0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0
460000.0,3.0,1.0,2.0,2.0,condos,95818,-121.509268,38.561661,Sacramento,CA,693.0,8.0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0
472000.0,2.0,1.0,1.0,3.0,single_family,95820,-121.435039,38.535847,Sacramento,CA,5227.0,78.0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0
513000.0,3.0,2.0,2.0,4.0,single_family,95827,-121.341967,38.573093,Sacramento,CA,7266.0,51.0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0
1075000.0,2.0,2.0,2.0,3.0,single_family,95819,-121.455654,38.563705,Sacramento,CA,4848.0,98.0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0
465000.0,2.0,2.0,1.0,3.0,single_family,95829,-121.360817,38.461264,Sacramento,CA,4726.0,36.0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0
313000.0,2.0,2.0,1.0,2.0,single_family,95843,-121.381327,38.720405,Antelope,CA,5101.0,35.0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0
357000.0,2.0,1.0,1.0,3.0,single_family,95824,-121.412552,38.522389,Sacramento,CA,5602.0,60.0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0
430000.0,3.0,2.0,2.0,3.0,condos,95835,-121.528271,38.678628,Sacramento,CA,1502.0,4.0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0
315000.0,1.0,1.0,1.0,2.0,single_family,95820,-121.463289,38.532485,Sacramento,CA,6534.0,83.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
373000.0,1.0,1.0,1.0,3.0,single_family,95820,-121.422345,38.528744,Sacramento,CA,4792.0,73.0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
415000.0,1.0,2.0,1.0,3.0,single_family,95820,-121.474532,38.540491,Sacramento,CA,5227.0,85.0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0
472000.0,2.0,2.0,1.0,3.0,single_family,95843,-121.376493,38.72136,Antelope,CA,5663.0,36.0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0
500100.0,2.0,2.0,1.0,4.0,single_family,95827,-121.321902,38.562116,Sacramento,CA,6199.0,46.0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0
903000.0,4.0,3.0,2.0,5.0,single_family,95835,-121.556243,38.679524,Sacramento,CA,7200.0,2.0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
